上证50
浦发银行 (600000)	民生银行 (600016)	宝钢股份 (600019)
中国石化 (600028)	南方航空 (600029)	中信证券 (600030)
招商银行 (600036)	保利地产 (600048)	中国联通 (600050)
上汽集团 (600104)	复星医药 (600196)	恒瑞医药 (600276)
万华化学 (600309)	华夏幸福 (600340)	贵州茅台 (600519)
山东黄金 (600547)	海螺水泥 (600585)	绿地控股 (600606)
青岛海尔 (600690)	三安光电 (600703)	伊利股份 (600887)
大秦铁路 (601006)	中国神华 (601088)	工业富联 (601138)
兴业银行 (601166)	北京银行 (601169)	中国铁建 (601186)
国泰君安 (601211)	上海银行 (601229)	农业银行 (601288)
中国平安 (601318)	交通银行 (601328)	新华保险 (601336)
三六零   (601360)	中国中铁 (601390)	工商银行 (601398)
中国太保 (601601)	中国人寿 (601628)	中国建筑 (601668)
华泰证券 (601688)	中国中车 (601766)	中国交建 (601800)
光大银行 (601818)	中国石油 (601857)	中国国旅 (601888)
建设银行 (601939)	中国银行 (601988)	中国重工 (601989)
药明康德 (603259)	洛阳钼业 (603993)
